JIB_PACIJENTA,IME,PREZIME,ADRESA,JMBG,DATUM_RODJ,POL,BRACNO_STANJE,DATUM_PRIJEMA,BROJ_TEL_RODJAKA,BROJ_TEL_DR_OPSTE_PRAKSE,SRODSTVO_SOS_SA_PACIJENTOM
366,Veliborka,Koruniæ,"Nedaviæ BB, Kalinovik",1812412091012,12/18/1941,Z,udovica,7/28/2020,057/623-267,057/340-169,roðak
367,Vojislava,Garaèa,"Nemanjina BB, Bratunac",2107398554152,7/21/1939,Z,udovica,7/19/2020,057/482-257,056/490-419,rodica
368,Jelisaveta,Lazin,"Nemanjina BB, Foèa",0202756850929,2/2/1975,Z,udata,7/13/2020,057/623-218,058/214-817,roðak
369,Živadinka,Radukanoviæ,"Nikolaja Velimiroviæa BB, Foèa",1401531648183,1/14/1953,Z,udata,7/31/2020,057/482-434,058/214-817,roðak
370,Aneta,Ruvidiæ,"Nikole Bojoviæa BB, Brod",1809193037839,9/18/2019,Z,udata,7/5/2020,057/484-818,058/214-812,rodica
371,Dejka,Kurteš,"Nikole Bojoviæa BB, Brod",1201383451620,1/12/1938,Z,udata,7/8/2020,057/623-151,058/214-812,roðak
372,Eva,Ðokanoviæ,"Nikole Bojoviæa BB, Brod",2809452830741,9/28/1945,Z,udata,7/1/2020,057/482-439,058/214-817,rodica
373,Severa,Velemir,"Nikole Bojoviæa BB, Brod",1605392256733,5/16/1939,Z,udata,7/27/2020,057/482-529,058/214-817,roðak
374,Milada,Šijaèki,"Nikole Bojoviæa BB, Brod",1906491737894,6/19/1949,Z,udata,7/18/2020,057/480-359,058/214-817,roðak
375,Anja,Trivièeviæ,"Nikole Bojoviæa BB, Brod",1910065742094,10/19/2006,Z,neudata,7/28/2020,057/482-393,058/214-817,rodica
376,Dobrila,Igiæ,"Nikole Bojoviæa BB, Foèa",1410824073802,10/14/1982,Z,udata,7/12/2020,057/482-436,058/214-811,roðak
377,Alekseja,Maluckov,"Nikole Pašiæa BB, Foèa",2506814329179,6/25/1981,Z,udata,7/4/2020,057/482-541,058/214-813,roðak
378,Gorica,Hamoviæ,"Nikole Pašiæa BB, Foèa",0907413105010,7/9/1941,Z,udata,7/30/2020,057/482-410,058/214-817,roðak
379,Ada,Civišiæ,"Nikole Pašiæa BB, Foèa",1712714748819,12/17/1971,Z,udata,7/28/2020,057/482-413,058/214-817,roðak
380,Vukmira,Šešelj,"Nikole Pašiæa BB, Foèa",3003424860852,3/30/1942,Z,udata,7/17/2020,057/623-389,058/214-817,roðak
381,Mirea,Šoleviæ,"Nikole Tesle 14/19, Bijeljina",2409177065110,9/24/2017,Z,neudata,8/1/2020,057/480-624,055/416-016,roðak
382,Angelina,Šarac,Nikole Tesle 1434,0307589266207,7/3/1958,Z,udata,7/12/2020,057/482-454,055/416-016,roðak
383,Jana,Gordijaniæ,"Nikole Tesle 16/34, Bijeljina",2508641990338,8/25/1964,Z,udata,7/10/2020,057/482-417,055/416-016,rodica
384,Mara,Spiriæ,"Nikole Tesle 17, Bijeljina",1005814878678,5/10/1981,Z,udata,8/1/2020,057/623-157,055/416-016,roðak
385,Lepa,Daskaloviæ,"Nikšiæki Put 35, Gorica",1103877279487,3/11/1987,Z,udata,7/15/2020,057/623-143,+387 59 261-352,roðak
386,Vuksana,Lešjanin,"Njegoševa BB, Foèa",2808194906014,8/28/2019,Z,neudata,7/28/2020,057/623-560,058/214-817,roðak
387,Anka,Borikiæ,"Njegoševa BB, Foèa",1603626807847,3/16/1962,Z,udata,7/3/2020,057/480-457,058/214-817,roðak
388,Dorotea,Udiloviæ,"Nudo BB, Lastva",1504373704402,4/15/1937,Z,udata,7/19/2020,057/623-289,+387 59 261-351,rodica
389,Mijana,Dimkiæ,Nušiæeva 13,0508787482015,8/5/1978,Z,udata,7/17/2020,058/211-552,055/416-018,rodica
390,Trifuna,Ilibašiæ,"Nušiæeva Lamela Ulaz 13 Sprat 1 Stan 1, Bijeljina",0407106227585,7/4/2010,Z,neudata,7/14/2020,058/213-090,055/416-016,roðak
391,Zoraida,Æosin,"Obala II BB, Bratunac",0609595945393,9/6/1959,Z,udata,7/16/2020,058/213-786,056/490-417,rodica
392,Anðelka,Strelica,"Obala I BB, Bratunac",1908853132052,8/19/1985,Z,udata,7/2/2020,058/212-564,056/490-417,rodica
393,Adalia,Sretenijeviæ,"Obala II BB, Bratunac",0412962789316,12/4/1996,Z,udata,8/1/2020,058/213-910,056/490-419,roðak
394,Zdravka,Pilasoviæ,"Obalj BB, Kalinovik",1404973716669,4/14/1997,Z,udata,7/21/2020,058/213-955,057/340-169,roðak
395,Tomka,Milkov,"Obalj BB, Kalinovik",0206536694610,6/2/1953,Z,udata,7/11/2020,058/230-254,057/340-169,roðak
396,Jovana,Krnjinac,"Obalj BB, Kalinovik",1505766411286,5/15/1976,Z,udata,7/23/2020,058/212-133,057/340-169,majka
397,Kata,Božuèanin,"Obalj BB, Kalinovik",1710369496520,10/17/1936,Z,udata,7/24/2020,058/210-177,057/340-169,roðak
398,Antonia,Dulkanoviæ,"Obalj BB, Kalinovik",2112023535674,12/21/2002,Z,udata,7/9/2020,058/210-808,057/340-169,roðak
399,Zlatka,Karleuša,"Obrnja BB, Kalinovik",0312463649291,12/3/1946,Z,udata,7/26/2020,058/210-027,057/340-169,rodica
400,Silvija,Nediniæ,"Ogorelica BB, Bijeljina",0406493840367,6/4/1949,Z,udata,7/27/2020,058/214-090,055/416-018,rodica
401,Larisa,Stašiæ,"Ogorelica BB, Bijeljina",2408167222015,8/24/2016,Z,neudata,7/11/2020,058/230-444,055/416-016,rodica
402,Zavida,Stanaæev,"Ogorelica BB, Bijeljina",1106735093631,6/11/1973,Z,udata,7/11/2020,058/210-133,055/416-016,roðak
403,Milisavka,Sokolovac,"Okolišta BB, Kalinovik",0202178538013,2/2/2017,Z,neudata,7/21/2020,058/230-326,057/340-169,rodica
404,Davorka,Èeèur,"Omladinska BB, Kalinovik",2712355868401,12/27/1935,Z,udata,7/6/2020,058/238-119,057/340-169,rodica
405,Vujadinka,Zejak,"Omladinska BB, Kalinovik",0806574393378,6/8/1957,Z,udata,7/14/2020,058/230-474,057/340-169,roðak
406,Dejka,Radukiæ,"Omladinska BB, Kalinovik",0307582883012,7/3/1958,Z,udata,7/28/2020,058/210-236,057/340-169,rodica
407,Tihana,Tokanoviæ,"Omladinska BB, Kalinovik",1711588815389,11/17/1958,Z,udata,7/20/2020,058/238-200,057/340-169,roðak
408,Lara,Slavniæ,"Omladinska BB, Kalinovik",0309437007178,9/3/1943,Z,udata,8/1/2020,058/480-039,057/340-169,rodica
409,Stanimirka,Gotovina,"Orahovac BB, Zvornik",0512571099234,12/5/1957,Z,udata,7/8/2020,058/214-625,056/211-111,roðak
410,Tomana,Parežanin,"Orašje BB, Grab",2603925322267,3/26/1992,Z,udata,7/10/2020,058/230-407,+387 59 261-353,roðak
411,Rosa,Coniæ,"Orašje BB, Trebinje",2609546149355,9/26/1954,Z,udata,7/22/2020,058/214-662,+387 59 261-353,roðak
412,Severina,Šukletoviæ,"Paðine BB, Paðine",0607706820013,7/6/1970,Z,udata,7/27/2020,058/212-364,056/211-111,roðak
413,Pavla,Repac,Paje Jovanoviæa 48,0105867622584,5/1/1986,Z,udata,7/15/2020,058/238-172,055/416-019,roðak
414,Cvetana,Škuletiæ,"Paluèci BB, Zvornik",0809906023138,9/8/1990,Z,udata,7/6/2020,058/213-339,056/211-102,roðak
415,Aida,Aradski,"Paluèci BB, Zvornik",1801816779568,1/18/1981,Z,udata,7/27/2020,058/481-017,056/211-111,roðak
416,Jelisaveta,Germanac,"Patkovaèa (Cipirovine) BB, Bijeljina",0504559949524,4/5/1955,Z,udata,7/24/2020,058/213-833,055/416-016,rodica
417,Zoraida,Ijaèiæ,"Patkovaèa BB, Bijeljina",1609566279990,9/16/1956,Z,udovica,7/27/2020,058/480-232,055/416-018,rodica
418,Rastislava,Mršoviæ,"Patkovaèa BB, Bijeljina",1404773537524,4/14/1977,Z,neudata,7/22/2020,058/484-087,055/416-016,roðak
419,Jelisaveta,Dièiæ,"Patkovina BB, Foèa",0503642706451,3/5/1964,Z,neudata,7/11/2020,058/213-772,058/214-817,roðak
420,Vidna,Gazikaloviæ,"Paunci BB, Foèa",1007701564706,7/10/1970,Z,udata,7/29/2020,058/214-140,058/214-817,roðak
421,Koviljka,Krstonošiæ,"Pavkoviæi bb, Miliæi",2911663840819,11/29/1966,Z,udata,7/22/2020,058/230-151,056/211-101,roðak
422,Jana,Obreški,"Pavkoviæi bb, Miliæi",0608407024579,8/6/1940,Z,udata,7/4/2020,058/210-552,056/211-101,roðak
423,Dejana,Risniæ,"Pavkoviæi bb, Miliæi",2410113362218,10/24/2011,Z,neudata,7/21/2020,058/480-672,056/211-101,roðak
424,Klementina,Pantoviæ,"Pere Tunguza BB, Kalinovik",1006758585001,6/10/1975,Z,udata,7/2/2020,058/214-309,057/340-169,roðak
425,Ksenija,Draviæ,"Pere Tunguza BB, Kalinovik",3105093700754,5/31/2009,Z,neudata,7/14/2020,058/210-387,057/340-169,rodica
426,Živojina,Vukin,"Pere Tunguza BB, Kalinovik",0409711054463,9/4/1971,Z,udata,8/1/2020,058/480-429,057/340-169,roðak
427,Izvorka,Vukšiæ,"Pere Tunguza BB, Kalinovik",2302119794268,2/23/2011,Z,neudata,7/4/2020,058/212-601,057/340-169,roðak
428,Radna,Obrovaèki,"Pere Tunguza BB, Kalinovik",1908091824152,8/19/2009,Z,neudata,7/10/2020,058/212-605,057/340-169,roðak
429,Hranislava,Kezunoviæ,"Pešuta Klariæa BB, Kalinovik",2205137191765,5/22/2013,Z,neudata,7/18/2020,058/221-440,057/340-169,otac
430,Amelia,Ubner,"Pešuta Klariæa BB, Kalinovik",0502934836744,2/5/1993,Z,udata,7/25/2020,058/230-225,057/340-169,roðak
431,Ristana,Dumitraškoviæ,"Pešuta Klariæa BB, Kalinovik",0204416099495,4/2/1941,Z,udata,7/10/2020,058/482-540,057/340-169,roðak
432,Stevanka,Vunjak,"Pešuta Klariæa BB, Kalinovik",1106674081743,6/11/1967,Z,udata,7/8/2020,058/480-488,057/340-169,roðak
433,Slavojka,Biloviæ,"Pešuta Klariæa BB, Kalinovik",2101176243351,1/21/2017,Z,neudata,7/26/2020,058/212-275,057/340-169,roðak
434,Dobrosava,Moæeviæ,"Pešuta Klariæa BB, Kalinovik",1810523932186,10/18/1952,Z,udata,7/16/2020,058/211-043,057/340-169,rodica
435,Ana,Èubrilo,"Pešuta Klariæa BB, Kalinovik",2702941039287,2/27/1994,Z,udata,7/20/2020,058/480-234,057/340-169,roðak
436,Dora,Odaviæ,"Petkovci BB, Donja Pilica",1804033878747,4/18/2003,Z,neudata,7/18/2020,058/211-608,056/211-102,roðak
437,Alta,Ristivojeviæ,"Petkovci BB, Petkovci",2903604638459,3/29/1960,Z,udata,7/2/2020,058/211-888,056/211-102,rodica
438,Bojka,Zlatièanin,"Petra Bojoviæa BB, Foèa",1602408188474,2/16/1940,Z,udata,7/13/2020,058/230-065,058/214-811,roðak
439,Jagoda,Gerziæ,"Petra Bojoviæa BB, Foèa",2804584326946,4/28/1958,Z,udata,7/2/2020,058/212-202,058/214-811,rodica
440,Naca,Alimpiæ,"Petra Bojoviæa BB, Foèa",1007477638005,7/10/1947,Z,udata,7/27/2020,058/212-167,058/214-812,roðak
441,Gorana,Zeèeviæ,"Petra Bojoviæa BB, Foèa",3105097923732,5/31/2009,Z,udata,7/10/2020,058/213-432,058/214-817,rodica
442,Irena,Rakazoviæ,"Petra Bojoviæa BB, Foèa",1909786411114,9/19/1978,Z,udata,7/19/2020,058/221-510,058/214-817,roðak
443,Martina,Drobiloviæ,"Petra Bojoviæa BB, Foèa",1611456753429,11/16/1945,Z,udata,7/29/2020,058/482-197,058/214-817,roðak
444,Paula,Gostimiroviæ,"Petra Bojoviæa BB, Foèa",2308813774475,8/23/1981,Z,udata,7/11/2020,058/211-804,058/214-817,roðak
445,Leonida,Vraèareviæ,"Petra Koèiæa BB, Foèa",1606123565570,6/16/2012,Z,neudata,7/22/2020,058/235-472,058/214-812,roðak
446,Maša,Bereta,"Petra Koèiæa BB, Foèa",1408383524639,8/14/1938,Z,udata,7/11/2020,058/214-324,058/214-812,rodica
447,Vukosava,Dragosavljeviæ,"Petra Koèiæa BB, Foèa",0411388495555,11/4/1938,Z,udata,7/11/2020,058/214-299,058/214-813,roðak
448,Živadinka,Gornjakoviæ,"Petra Koèiæa BB, Foèa",2801792932034,1/28/1979,Z,udata,7/2/2020,058/235-382,058/214-813,roðak
449,Lea,Dikliæ,"Petrov Polje BB, Trebinje",2101621008015,1/21/1962,Z,udata,7/16/2020,058/212-191,+387 59 261-351,roðak
450,Persa,Georgijeviæ,"Petrovdanska 60, Bratunac",0510447503769,10/5/1944,Z,udovica,7/17/2020,058/212-421,056/490-417,roðak
451,Ivanka,Cincar,"Petrovdanska BB, Bratunac",2409854727018,9/24/1985,Z,udata,7/24/2020,058/212-498,056/490-419,roðak
452,Magdalina,Moljkoviæ,"Petrovdanska BB, Bratunac",3003445972201,3/30/1944,Z,udovica,7/13/2020,058/482-638,056/490-417,roðak
453,Trnjina,Runjevac,"Pilica BB, Donja Pilica",0712016624768,12/7/2001,Z,udata,7/19/2020,058/213-792,056/211-102,rodica
454,Božica,Poskurica,"Pobrðe BB, Bratunac",2709399773976,9/27/1939,Z,udata,7/24/2020,058/482-026,056/490-417,roðak
455,Anita,Korolija,"Podèauš BB, Bratunac",1810123078528,10/18/2012,Z,neudata,7/19/2020,058/210-865,056/490-419,roðak
456,Vera,Ružiæ,"Podgora bb, Miliæi",0907006598660,7/9/2000,Z,udata,7/31/2020,058/213-742,056/211-101,roðak
457,Nadežda,Baranac,"Podgora bb, Miliæi",1811948787615,11/18/1994,Z,udata,8/1/2020,058/230-297,056/211-101,roðak
458,Milkana,Krndija,"Podgradac BB, Bratunac",1710451887272,10/17/1945,Z,udata,7/26/2020,058/214-115,056/490-419,rodica
459,Slobodanka,Vranjanin,"Podgradac BB, Bratunac",2504149482549,4/25/2014,Z,neudata,7/3/2020,058/230-118,056/490-417,roðak
460,Ljiljana,Mileniæ,"Podgradac BB, Bratunac",1308154195551,8/13/2015,Z,neudata,7/12/2020,058/213-306,056/490-417,roðak
461,Dora,Bjelèeviæ,"Podgradac BB, Bratunac",1703107424022,3/17/2010,Z,neudata,7/9/2020,058/214-297,056/490-417,roðak
462,Alda,Trimèeviæ,"Podravanje bb, Miliæi",0104972853524,4/1/1997,Z,udata,7/28/2020,058/213-097,056/211-100,roðak
463,Dragojla,Gustovarac,"Preobraženska BB, Trebinje",0511688442033,11/5/1968,Z,udata,7/15/2020,058/480-201,+387 59 261-351,roðak
464,Zagorka,Roganoviæ,"Prevraæ BB, Foèa",2609604189798,9/26/1960,Z,udata,7/17/2020,058/230-191,058/214-817,roðak
465,Elena,Æukteraš,"Pridvorci 15, Trebinje",2504169537004,4/25/2016,Z,neudata,7/4/2020,058/210-837,+387 59 261-353,rodica
466,Radija,Vukonjanski,"Pridvorci 24, Trebinje",2903076708829,3/29/2007,Z,neudata,7/7/2020,058/213-962,+387 59 261-351,rodica
467,Isidora,Laloševiæ,"Pridvorci BB, Trebinje",1702627814478,2/17/1962,Z,udata,7/6/2020,058/213-694,+387 59 261-351,roðak
468,Leonida,Ðunoviæ,"Prljaèa BB, Gorica",0705714131979,5/7/1971,Z,udata,7/21/2020,058/214-543,+387 59 261-352,rodica
469,Ognjanka,Tajeviæ,"Radnièka 5-A, Zvornik",0302136354988,2/3/2013,Z,neudata,7/26/2020,058/480-196,056/211-102,roðak
470,Persa,Tarlaæ,"Rajiæi bb, Miliæi",2910209633883,10/29/2020,Z,neudata,7/19/2020,058/212-105,056/211-101,roðak
471,Brankica,Berat,"Rajici bb, Miliæi",2707043591799,7/27/2004,Z,udata,7/30/2020,058/213-397,056/211-101,rodica
472,Varvara,Bratiæeviæ,"Rajiæi bb, Miliæi",2004697031354,4/20/1969,Z,udata,7/6/2020,058/233-138,056/211-100,roðak
473,Adra,Telenta,"Rajiæi bb, Miliæi",2404914886175,4/24/1991,Z,udata,7/24/2020,058/212-362,056/211-101,roðak
474,Ðurða,Vujanin,"Rajiæi bb, Miliæi",1003647485028,3/10/1964,Z,udata,7/30/2020,058/210-822,056/211-101,roðak
475,Mia,Cicoviæ,"Rajiæi bb, Miliæi",0712863711157,12/7/1986,Z,udata,7/10/2020,058/482-624,056/211-101,roðak
476,Ema,Jegarèev,"Rajiæi bb, Miliæi",0806439538949,6/8/1943,Z,udata,7/12/2020,058/238-184,056/211-101,roðak
477,Mirela,Galjak,"Rakovaèki put BB, Bratunac",0203183184839,3/2/2018,Z,neudata,7/1/2020,058/214-222,056/490-419,roðak
478,Stanimirka,Janaækoviæ,"Rakovaèki Put BB, Bratunac",0311164346152,11/3/2016,Z,neudata,7/29/2020,058/235-311,056/490-417,roðak
479,Stajka,Puriša,"Rastoci 7, Trebinje",2401673204175,1/24/1967,Z,udata,7/31/2020,058/214-201,+387 59 261-350,roðak
480,Dana,Radanèeviæ,"Repovac BB, Bratunac",2504108148977,4/25/2010,Z,neudata,7/6/2020,058/484-495,056/490-419,roðak
481,Ðurðinka,Jerkov,"Repovac BB, Bratunac",1208154543434,8/12/2015,Z,neudata,7/29/2020,058/230-167,056/490-419,roðak
482,Dragojla,Vojièiæ,"Repovac BB, Bratunac",3001458873751,1/30/1945,Z,udata,8/1/2020,058/488-045,056/490-417,roðak
483,Milka,Šinikoviæ,"Rijeèka BB, Bratunac",2108722568423,8/21/1972,Z,udata,7/1/2020,058/230-171,056/490-417,roðak
484,Dragica,Glavendekiæ,"Ruda Glavica BB, Zavajt",2911479040979,11/29/1947,Z,udata,7/12/2020,058/213-356,058/214-817,roðak
485,Jelenka,Zotoviæ,Ruðera Boškovica 3,3007762617107,7/30/1976,Z,udata,7/20/2020,058/230-241,055/416-019,rodica
486,Nataša,Antonoviæ,"S.Peroviæa BB, Gorica",2610915125765,10/26/1991,Z,udata,7/29/2020,058/212-021,+387 59 261-351,rodica
487,Zagorka,Radovanoviæ,"Šantiæeva BB, Foèa",1512131462735,12/15/2013,Z,neudata,7/31/2020,058/212-795,058/214-811,roðak
488,Zlata,Gucunski,"Šantiæeva BB, Foèa",0208831003277,8/2/1983,Z,udata,7/9/2020,058/214-081,058/214-817,roðak
489,Stoislava,Civriæ,"Saš BB, Foèa",0402199945693,2/4/2019,Z,neudata,7/10/2020,058/210-042,058/214-817,roðak
490,Smiljka,Kuzeljeviæ,"Sedomine BB, Kalinovik",2503937976116,3/25/1993,Z,udata,7/9/2020,058/214-619,057/340-169,rodica
491,Stana,Golemoviæ,"Selišta BB, Bratunac",2512944083326,12/25/1994,Z,udata,7/15/2020,058/214-748,056/490-419,roðak
492,Bosa,Komlenov,"Serafima Peroviæa BB, Trebinje",0401116361025,1/4/2011,Z,neudata,7/18/2020,058/230-253,+387 59 261-352,roðak
493,Košuta,Karišik,"Šetiæi BB, Šetiæi",3008014339758,8/30/2001,Z,udata,7/22/2020,058/482-564,056/211-102,roðak
494,Kaæa,Grekuloviæ,"Šetiæi BB, Zvornik",0107895117918,7/1/1989,Z,udata,7/30/2020,058/210-240,056/211-102,roðak
495,Maja,Vunjak,"Sime Periæa BB, Zvornik",2012453669568,12/20/1945,Z,udata,7/4/2020,058/213-143,056/211-102,roðak
496,Zorica,Bakmaz,"Šivolji BB, Kalinovik",2203664554116,3/22/1966,Z,udata,7/6/2020,058/214-758,057/340-169,roðak
497,Ljubislava,Batroviæ,"Šivolji BB, Kalinovik",0112946245446,12/1/1994,Z,udata,7/26/2020,058/211-509,057/340-169,roðak
498,Jordanka,Runjanin,"Šivolji BB, Kalinovik",0404071654534,4/4/2007,Z,neudata,7/11/2020,058/210-828,057/340-169,roðak
499,Nikolija,Šolak,"Šivolji BB, Kalinovik",1204585315484,4/12/1958,Z,udata,7/15/2020,058/482-128,057/340-169,roðak
500,Izvirinka,Balmazoviæ,"Slapašnièka BB, Bratunac",3005025865303,5/30/2002,Z,neudata,7/13/2020,058/238-116,056/490-419,roðak
501,Koviljka,Burzan,"Slobodana Jovanoviæa 15, Bijeljina",0704591207607,4/7/1959,Z,udata,7/12/2020,058/212-673,055/416-016,roðak
502,Mlaðana,Dobrosavljev,"Sokolska BB, Kalinovik",2107607524215,7/21/1960,Z,udata,7/19/2020,058/212-719,057/340-169,roðak
503,Vlatka,Ivantiæ,"Sokolska BB, Foèa",1006509599942,6/10/1950,Z,neudata,7/21/2020,058/211-596,058/214-811,roðak
504,Trnjina,Šarenac,"Sokolska BB, Foèa",2202577727062,2/22/1957,Z,udovica,7/14/2020,058/214-260,058/214-812,rodica
505,Radmila,Paravac,"Sokolska BB, Foèa",2706483995092,6/27/1948,Z,udovica,7/12/2020,058/213-492,058/214-812,rodica
506,Ivana,Šeguljev,"Solunska 16, Trebinje",1506727010219,6/15/1972,Z,neudata,7/12/2020,058/212-840,+387 59 261-351,roðak
507,Simona,Silaški,"Solunska BB, Trebinje",1504839776295,4/15/1983,Z,neudata,7/4/2020,058/211-114,+387 59 261-352,rodica
508,Ruzmarinka,Buljin,"Solunska BB, Trebinje",1910607400464,10/19/1960,Z,neudata,7/4/2020,058/230-101,+387 59 261-352,roðak
509,Gospava,Turunèiæ,"Solunskih Junaka 33, Milici",3108813602486,8/31/1981,Z,neudata,7/22/2020,058/235-251,056/211-101,roðak
510,Milijana,Guroviæ,"Srebrenièkog odreda BB, Bratunac",1305933746927,5/13/1993,Z,neudata,7/6/2020,058/213-953,056/490-417,roðak
511,Jelena,Bogetiæ,"Srpska 25, Trebinje",0203411544662,3/2/1941,Z,neudata,7/2/2020,058/211-789,+387 59 261-353,roðak
512,Mera,Draviæ,"Srpske Sloge BB, Ugljevik",0809441078833,9/8/1944,Z,neudata,7/12/2020,058/230-158,055/416-019,rodica
513,Stojana,Podgorac,"Srpskih Dobrovoljaca BB, Kalinovik",0112734586409,12/1/1973,Z,neudata,7/29/2020,058/238-193,057/340-169,rodica
514,Zvonka,Ilijiæ,"Starine Novaka 4 , Ugljevik",1007106049754,7/10/2010,Z,neudata,7/18/2020,058/211-024,055/416-019,rodica
515,Gordana,Palavestra,"Staro Strelište BB, Trebinje",0409008292213,9/4/2000,Z,neudata,7/11/2020,058/480-089,+387 59 261-350,roðak
516,Katica,Èaprnjiæ,Stefana Deèanskog 161A,1507104136194,7/15/2010,Z,neudata,7/15/2020,058/484-496,055/416-018,roðak
517,Javorka,Stojkoviæ,"Stefana Deèanskog 75, Bijeljina",1302674181428,2/13/1967,Z,udovica,7/7/2020,058/212-569,055/416-016,roðak
518,Teodosija,Ribariæ,"Stepe StepaNovica BB, Foèa",2003649494916,3/20/1964,Z,udovica,7/22/2020,058/212-776,058/214-811,majka
519,Kosana,Todorinoviæ,"Stepe StepaNovica BB, Foèa",0408082850025,8/4/2008,Z,neudata,7/23/2020,058/238-134,058/214-811,roðak
520,Gorica,Vojnoviæ,"Stepe StepaNovica BB, Foèa",0606113985188,6/6/2011,Z,neudata,7/14/2020,058/213-126,058/214-813,majka
521,Iva,Markiæeviæ,"Stepe StepaNovica BB, Foèa",1402744955228,2/14/1974,Z,neudata,7/26/2020,058/210-307,058/214-817,roðak
522,Iva,Èièak,"Stepe StepaNovica BB, Foèa",0110857282593,10/1/1985,Z,neudata,7/20/2020,058/212-228,058/214-817,roðak
523,Ognjanka,Koševiæ,"Štoviæ BB, Brod",0108023892895,8/1/2002,Z,neudata,7/30/2020,058/210-501,058/214-813,roðak
524,Vida,Skrobiæ,"Štoviæ BB, Brod",3007594838514,7/30/1959,Z,neudata,7/21/2020,058/221-271,058/214-817,roðak
525,Vukosava,Ivanjac,"Studentska BB, Foèa",0103641291117,3/1/1964,Z,neudata,7/26/2020,058/212-810,058/214-817,roðak
526,Kosovka,Tapavica,"Studentska BB, Foèa",1410991973511,10/14/1999,Z,neudata,7/30/2020,058/213-080,058/214-817,roðak
527,Drenka,Gajloviæ,"Studentska BB, Foèa",1803604525432,3/18/1960,Z,neudata,7/2/2020,058/230-168,058/214-817,roðak
528,Lena,Komadiniæ,"Studentska BB, Foèa",2706128479978,6/27/2012,Z,neudata,7/14/2020,058/210-392,058/214-817,roðak
529,Klementina,Keèan,"Suho Polje BB, Bijeljina",0608896790304,8/6/1989,Z,neudata,7/27/2020,058/484-410,055/416-016,roðak
530,Ðenadija,Lunguloviæ,"Šumadijska BB, Kalinovik",1907659984536,7/19/1965,Z,neudata,7/10/2020,058/214-731,057/340-169,rodica
531,Stevanka,Negovanoviæ,"Sunèani Breg 28, Trebinje",2111608106676,11/21/1960,Z,neudata,7/10/2020,058/211-699,+387 59 261-352,roðak
532,Neda,Variæak,"Supaè bb, Miliæi",2310087601874,10/23/2008,Z,neudata,7/19/2020,058/212-181,056/211-100,roðak
533,Bosa,Ludoški,"Sveti Stefan BB, Zvornik",2304649824364,4/23/1964,Z,neudata,7/20/2020,058/214-549,056/211-111,rodica
534,Julka,Arbinja,"Svetog Nikole BB, Foèa",1510056676511,10/15/2005,Z,neudata,7/1/2020,058/230-015,058/214-813,roðak
535,Severa,Biljanoviæ,"Svetog Nikole BB, Foèa",0803906587570,3/8/1990,Z,neudata,7/4/2020,058/213-354,058/214-817,roðak
536,Marlena,Jeftiæ,"Svetog Nikole BB, Foèa",0905073456909,5/9/2007,Z,neudata,7/27/2020,058/211-879,058/214-817,roðak
537,Milica,Krstoniæ,"Svetog Save BB, Bratunac",0210006732876,10/2/2000,Z,neudata,7/13/2020,058/480-487,056/490-419,roðak
538,Ranðija,Èelar,"Svetog Save BB, Bratunac",3012895416288,12/30/1989,Z,neudata,7/26/2020,058/230-102,056/490-417,roðak
539,Milesa,Pirkoviæ,"Svetog Save Z-13-Ii-Ii/16, Zvornik",0712941034463,12/7/1994,Z,neudata,7/31/2020,058/211-179,056/211-102,roðak
540,Kristijana,Kreèkoviæ,"Svetog Save Z14-4/5/78, Zvornik",1908472759663,8/19/1947,Z,neudata,7/1/2020,058/214-074,056/211-102,roðak
541,Kalina,Odžiæ,"Svetog Save BB, Bratunac",2812194750477,12/28/2019,Z,neudata,8/1/2020,058/480-477,056/490-419,rodica
542,Bosa,Tucoviæ,"Svetog Save BB, Bratunac",2906563464715,6/29/1956,Z,neudata,7/24/2020,058/214-832,056/490-419,roðak
543,Bojana,Peroševiæ,"Svetog Save BB, Bratunac",0708629435446,8/7/1962,Z,neudata,7/15/2020,058/480-835,056/490-417,roðak
544,Maja,Dešiæ,"Svetog Save BB, Bratunac",2503833838032,3/25/1983,Z,neudata,7/8/2020,058/235-570,056/490-417,roðak
545,Dara,Lovre,"Svetog Save BB, Bratunac",0212754446971,12/2/1975,Z,neudata,7/24/2020,058/236-542,056/490-417,roðak
546,Goranka,Borakoviæ,"Svetog Save BB, Bratunac",1203909511184,3/12/1990,Z,neudata,7/13/2020,058/214-467,056/490-417,roðak
547,Karanfila,Radièkoviæ,"Svetog Save BB, Bratunac",1705102584659,5/17/2010,Z,neudata,7/11/2020,055/554-357,056/490-417,roðak
548,Dafina,Stokin,"Svetog Save BB, Bratunac",0810011088446,10/8/2001,Z,neudata,7/17/2020,055/373-224,056/490-417,roðak
549,Roksanda,Dujanoviæ,"Svetosavska 331, Trebinje",2912904540343,12/29/1990,Z,neudata,7/15/2020,055/350-455,+387 59 261-350,rodica
550,Ranðija,Grebenaroviæ,"Svetosavska BB, Foèa",2407903645239,7/24/1990,Z,neudata,7/13/2020,055/389-715,058/214-813,roðak
551,Todora,Vitkoviæ,"Svetosavska BB, Foèa",1904763370177,4/19/1976,Z,neudata,7/10/2020,055/240-563,058/214-817,roðak
